,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score,n_helpful,Hit/Flop
0,9.0,9.0,10.0,9.0,9.0,23,Hit
5,9.0,9.5,7.0,8.0,8.5,26,Hit
25,8.0,8.5,7.5,6.5,7.5,24,Flop
26,6.0,7.0,7.5,3.5,6.0,25,Flop
27,10.0,10.0,10.0,10.0,10.0,12,Hit
28,9.0,9.5,8.0,8.5,8.0,4,Flop
29,6.5,7.5,7.5,5.0,6.5,8,Flop
30,8.0,9.0,9.0,8.0,8.0,3,Flop
31,7.5,8.5,8.5,6.0,7.5,17,Flop
33,6.5,8.0,8.0,6.5,6.5,2,Flop
35,9.0,10.0,8.0,8.0,9.0,2,Hit
36,9.0,9.0,7.5,9.0,9.0,23,Hit
37,9.0,9.5,8.5,8.5,9.5,5,Hit
38,9.5,10.0,8.0,9.0,9.0,1,Hit
39,8.5,9.0,7.0,6.0,8.0,9,Flop
40,9.5,10.0,9.5,9.0,9.0,9,Hit
41,10.0,10.0,10.0,10.0,10.0,7,Hit
42,8.5,10.0,10.0,8.5,9.0,5,Hit
43,9.0,10.0,10.0,8.0,9.0,1,Hit
44,8.0,9.0,9.0,8.0,8.5,7,Hit
45,9.0,9.5,8.5,8.5,9.0,17,Hit
46,6.5,9.0,8.5,4.0,7.0,11,Flop
48,6.0,8.0,8.0,4.5,7.0,9,Flop
50,7.5,8.0,8.0,7.0,7.5,11,Flop
51,7.0,8.5,8.5,6.0,7.5,19,Flop
52,9.0,9.5,8.5,9.0,9.5,10,Hit
53,7.5,8.5,8.5,7.0,8.0,9,Flop
55,6.5,8.5,8.0,6.5,7.5,28,Flop
58,9.0,9.5,9.5,9.0,9.0,10,Hit
59,9.0,9.0,8.5,8.5,9.0,14,Hit
60,6.0,8.5,8.5,4.0,7.0,5,Flop
61,5.5,8.5,8.5,3.0,7.0,8,Flop
62,8.0,9.0,9.0,7.0,8.5,12,Hit
63,3.5,7.5,7.5,2.0,6.0,4,Flop
64,7.5,8.5,8.0,7.0,8.0,11,Flop
65,6.0,8.0,8.0,7.0,7.5,11,Flop
67,3.5,8.5,8.5,1.0,6.0,14,Flop
68,5.0,8.5,8.5,3.0,7.0,5,Flop
69,4.0,8.5,8.0,1.0,6.0,5,Flop
70,5.0,8.0,9.5,3.0,7.0,15,Flop
71,7.5,9.0,9.0,7.5,8.5,8,Hit
73,7.0,5.5,3.5,3.0,5.5,4,Flop
74,9.0,7.0,5.0,5.5,7.5,2,Flop
75,7.5,7.0,2.5,4.0,7.0,12,Flop
76,7.0,6.0,5.5,3.5,7.5,2,Flop
77,8.5,8.0,6.0,6.0,8.0,1,Flop
78,8.5,7.5,8.0,7.0,8.5,0,Hit
79,8.0,8.0,6.0,5.0,7.0,0,Flop
80,8.0,10.0,9.0,7.0,8.5,0,Hit
81,7.5,5.5,10.0,4.5,7.5,0,Flop
82,8.0,8.0,5.0,5.0,7.5,0,Flop
83,8.0,10.0,8.0,4.0,7.0,1,Flop
84,8.5,8.5,6.5,5.5,7.5,0,Flop
85,8.0,8.0,8.0,4.5,8.0,0,Flop
86,8.0,8.0,5.0,5.0,8.5,0,Hit
88,8.0,7.5,8.0,5.5,7.5,0,Flop
89,6.5,10.0,7.0,4.0,7.5,0,Flop
90,10.0,10.0,10.0,10.0,10.0,3,Hit
91,10.0,10.0,10.0,10.0,10.0,2,Hit
92,8.5,9.5,10.0,7.5,9.0,1,Hit
93,10.0,10.0,10.0,10.0,10.0,2,Hit
94,9.5,9.5,10.0,9.5,9.5,1,Hit
97,8.0,9.0,8.0,8.0,8.5,4,Hit
98,9.5,9.5,8.5,8.5,9.5,11,Hit
99,9.5,10.0,9.0,7.5,9.5,16,Hit
101,8.5,9.0,7.0,8.0,9.0,26,Hit
102,8.0,8.5,7.0,7.0,8.5,17,Hit
103,9.5,9.0,9.5,9.0,9.5,11,Hit
104,10.0,10.0,8.5,9.5,10.0,29,Hit
105,9.0,9.5,9.0,8.5,9.5,4,Hit
106,10.0,10.0,8.0,8.0,10.0,25,Hit
107,10.0,10.0,10.0,10.0,10.0,23,Hit
